index,date,federal_state_id,federal_state_name,professional_area_ID,professional_area,number_of_unemployed,number_of_job _seekers,reported_open_positions,reported_open_positions_moving_annual_total
2461,15/01/2019,,Hamburg,93304,"Kunsthandwerk, bild. Kunst (oS)-Experte",13,27,- ,- 
2462,15/01/2019,,Hamburg,9331,Berufe in der Bildhauerei,7,9,* ,* 
2463,15/01/2019,,Hamburg,93312,Bildhauerei - Fachkraft,7,9,* ,* 
2464,15/01/2019,,Hamburg,9332,"Kunstmaler/innen, Zeichner/innen",21,43,- ,- 
2465,15/01/2019,,Hamburg,93323,"Kunstmaler, Zeichner - Spezialist",21,43,- ,- 
2466,15/01/2019,,Hamburg,934,"Kunsthandwerkl. Keramik-, Glasgestaltung",4,5,- ,- 
2467,15/01/2019,,Hamburg,9341,Berufe kunsthandwerkl. Keramikgestaltung,3,3,- ,- 
2468,15/01/2019,,Hamburg,93412,Kunsthandw. Keramikgestaltung-Fachkraft,3,3,- ,- 
2469,15/01/2019,,Hamburg,935,Kunsthandwerkliche Metallgestaltung,19,57,5,15
2470,15/01/2019,,Hamburg,9352,"Kunsthandw.Schmuckherst.,Edelsteinbearb.",13,41,- ,7
2471,15/01/2019,,Hamburg,93522,Kunsth.Schmuckher.Edelsteinbe.-Fachkraft,13,38,- ,7
2472,15/01/2019,,Hamburg,9354,"Berufe Schilder-,Lichtreklameherstellung",5,12,5,7
2473,15/01/2019,,Hamburg,93542,"Schilder-,Lichtreklameherst. - Fachkraft",5,12,5,7
2474,15/01/2019,,Hamburg,936,Musikinstrumentenbau,6,8,- ,* 
2475,15/01/2019,,Hamburg,9364,Berufe im Klavier- und Cembalobau,5,6,- ,* 
