semester,federal_state,study_code,study_subject,total_males,total_females,total_all
WT 2021/22,Baden-Württemberg,SF138,Agricultural Biology,24,29,53
WT 2021/22,Baden-Württemberg,SF125,Agricultural Economics,7,11,18
WT 2021/22,Baden-Württemberg,SF003,Agricultural Science/Agriculture,126,178,304
WT 2021/22,Baden-Württemberg,SF001,Egyptology,7,11,18
WT 2021/22,Baden-Württemberg,SF152,General Linguistics/Indo-European Studies,25,71,96
WT 2021/22,Baden-Württemberg,SF188,General Literary Studies,13,55,68
WT 2021/22,Baden-Württemberg,SF272,Ancient History,7,9,16
WT 2021/22,Baden-Württemberg,SF006,American Studies,43,100,143
WT 2021/22,Baden-Württemberg,SF284,Applied Linguistics,6,17,23
WT 2021/22,Baden-Württemberg,SF140,Applied Systems Science,18,7,25
WT 2021/22,Baden-Württemberg,SF008,English Studies,213,616,829
WT 2021/22,Baden-Württemberg,SF011,Work Studies/Business Studies,17,42,59
WT 2021/22,Baden-Württemberg,SF257,Occupational Guidance and Career Counselling,16,62,78
WT 2021/22,Baden-Württemberg,SF258,Labour Administration,41,102,143
WT 2021/22,Baden-Württemberg,SF012,Archaeology,37,57,94
WT 2021/22,Baden-Württemberg,SF013,Architecture,256,414,670
WT 2021/22,Baden-Württemberg,SF187,Asian Languages and Cultures/Asian Studies,9,18,27
WT 2021/22,Baden-Württemberg,SF014,Astrophysics and Astronomy,20,8,28
WT 2021/22,Baden-Württemberg,SF143,Ophthalmic Optics,11,21,32
WT 2021/22,Baden-Württemberg,SF017,Civil Engineering/Structural Engineering,617,244,861
WT 2021/22,Baden-Württemberg,SF270,"Vocational, Business and Economics Education",13,35,48
WT 2021/22,Baden-Württemberg,SF021,Business Administration,3358,3572,6930
WT 2021/22,Baden-Württemberg,SF023,Fine Arts/Graphics,8,14,22
WT 2021/22,Baden-Württemberg,SF205,Sculpting/Statuary Art,2,3,5
WT 2021/22,Baden-Württemberg,SF025,Biochemistry,81,173,254
WT 2021/22,Baden-Württemberg,SF221,Bioinformatics,26,15,41
WT 2021/22,Baden-Württemberg,SF026,Biology,389,799,1188
WT 2021/22,Baden-Württemberg,SF300,Biomedicine,10,38,48
WT 2021/22,Baden-Württemberg,SF282,Biotechnology,81,127,208
WT 2021/22,Baden-Württemberg,SF260,Armed Forces Administration,28,39,67
WT 2021/22,Baden-Württemberg,SF032,Chemistry,384,382,766
WT 2021/22,Baden-Württemberg,SF033,Chemical Engineering/Chemical Process Technology,146,96,242
WT 2021/22,Baden-Württemberg,SF160,Computer Linguistics,50,58,108
WT 2021/22,Baden-Württemberg,SF200,Computer and Communication Technology,53,24,77
WT 2021/22,Baden-Württemberg,SF035,Performing Arts/Stagecraft/Directing,10,23,33
WT 2021/22,Baden-Württemberg,SF271,German as a Foreign or Second Language,23,32,55
WT 2021/22,Baden-Württemberg,SF161,Pastoral Care Studies,1,5,6
WT 2021/22,Baden-Württemberg,SF192,Conducting,2,2,4
WT 2021/22,Baden-Württemberg,SF231,Printing and Reproduction Technology,21,15,36
WT 2021/22,Baden-Württemberg,SF316,Electrical Power Engineering,51,7,58
WT 2021/22,Baden-Württemberg,SF048,Electrical Engineering/Electronics,1102,167,1269
WT 2021/22,Baden-Württemberg,SF211,Energy Process Engineering,53,10,63
WT 2021/22,Baden-Württemberg,SF320,Nutritional Science,14,104,118
WT 2021/22,Baden-Württemberg,SF321,Adult Education and Extracurricular Youth Educat.,11,52,63
WT 2021/22,Baden-Württemberg,SF052,Educational Science (Pedagogy),115,692,807
WT 2021/22,Baden-Württemberg,SF169,Ethics,12,34,46
WT 2021/22,Baden-Württemberg,SF173,Ethnology,15,42,57
WT 2021/22,Baden-Württemberg,SF024,European Ethnology and Cultural Studies,8,12,20
WT 2021/22,Baden-Württemberg,SF544,"Protestant Religious Pedagogy, Church Educat. Work",12,22,34
WT 2021/22,Baden-Württemberg,SF053,"Protestant Theology, Protes. Religious Education",45,52,97
WT 2021/22,Baden-Württemberg,SF464,Facility Management,8,1,9
WT 2021/22,Baden-Württemberg,SF235,Automotive Technology,266,23,289
WT 2021/22,Baden-Württemberg,SF212,Precision Engineering,64,5,69
WT 2021/22,Baden-Württemberg,SF202,Manufacturing Technology/Production Engineering,75,20,95
WT 2021/22,Baden-Württemberg,SF266,Financial Administration,14,40,54
WT 2021/22,Baden-Württemberg,SF058,"Forest Science, Forestry",149,101,250
WT 2021/22,Baden-Württemberg,SF059,French,23,119,142
WT 2021/22,Baden-Württemberg,SF050,Geography,87,108,195
WT 2021/22,Baden-Württemberg,SF065,Geology/Palaeontology,13,6,19
WT 2021/22,Baden-Württemberg,SF066,Geophysics,8,4,12
WT 2021/22,Baden-Württemberg,SF039,Geosciences general,74,84,158
WT 2021/22,Baden-Württemberg,SF067,German Studies/German,187,1147,1334
WT 2021/22,Baden-Württemberg,SF230,Singing,10,12,22
WT 2021/22,Baden-Württemberg,SF068,History,260,215,475
WT 2021/22,Baden-Württemberg,SF195,Health Education,25,131,156
WT 2021/22,Baden-Württemberg,SF215,Health Technology,194,201,395
WT 2021/22,Baden-Württemberg,SF232,Health Science/Health Management,81,335,416
WT 2021/22,Baden-Württemberg,SF069,Graphic Design/Communication Design,110,235,345
WT 2021/22,Baden-Württemberg,SF070,Greek,1,2,3
WT 2021/22,Baden-Württemberg,SF071,Domestic and Nutritional Sciences,9,117,126
WT 2021/22,Baden-Württemberg,SF082,Wood and Fibre Technology,11,2,13
WT 2021/22,Baden-Württemberg,SF075,Wood Science,9,1,10
WT 2021/22,Baden-Württemberg,SF203,Industrial Design/Product Design,46,49,95
WT 2021/22,Baden-Württemberg,SF079,Computer Science,2227,437,2664
WT 2021/22,Baden-Württemberg,SF022,Inf./Library Scien. (not at univ. of app.adm.sci.),7,18,25
WT 2021/22,Baden-Württemberg,SF123,Computational Engineer./Technical Computer Science,272,43,315
WT 2021/22,Baden-Württemberg,SF242,Interior Architecture,3,52,55
WT 2021/22,Baden-Württemberg,SF261,Internal Administration,22,13,35
WT 2021/22,Baden-Württemberg,SF080,Instrumental Music,101,109,210
WT 2021/22,Baden-Württemberg,SF072,Interdisc. Studies (specialising in Engineering),306,113,419
WT 2021/22,Baden-Württemberg,SF049,Interdisc. Studies (special. in Natural Sciences),20,13,33
WT 2021/22,Baden-Württemberg,SF030,"Interdisc. St. (spec. in Law, Econ. and Soc. Sci.)",91,131,222
WT 2021/22,Baden-Württemberg,SF004,Interdisc. Studies (spec. in Humanities),212,450,662
WT 2021/22,Baden-Württemberg,SF182,International Business Studies/Management,398,656,1054
WT 2021/22,Baden-Württemberg,SF292,Islamic Studies/Islamic theology,7,10,17
WT 2021/22,Baden-Württemberg,SF083,Islamic Studies,1,14,15
WT 2021/22,Baden-Württemberg,SF084,Italian,8,36,44
WT 2021/22,Baden-Württemberg,SF085,Japanese Studies,17,44,61
WT 2021/22,Baden-Württemberg,SF164,Jazz and Popular Music,2,3,5
WT 2021/22,Baden-Württemberg,SF073,Judaic Studies/Hebrew,6,5,11
WT 2021/22,Baden-Württemberg,SF280,Cartography,4,4,8
WT 2021/22,Baden-Württemberg,SF545,"Catholic Religious Pedagogy, Church Educat. Work",3,17,20
WT 2021/22,Baden-Württemberg,SF086,"Catholic Theology, Catholic Religious Education",20,34,54
WT 2021/22,Baden-Württemberg,SF222,"Communication Technology, Information Engineering",108,25,133
WT 2021/22,Baden-Württemberg,SF303,Communication Science/Journalism,81,313,394
WT 2021/22,Baden-Württemberg,SF091,Arts Education,7,57,64
WT 2021/22,Baden-Württemberg,SF092,"Art History, Art Theory",41,163,204
WT 2021/22,Baden-Württemberg,SF219,Plastics Technology,5,4,9
WT 2021/22,Baden-Württemberg,SF283,Landscape Ecology/Biogeography (ex. SF385 s. 2012),12,27,39
WT 2021/22,Baden-Württemberg,SF095,Latin,13,13,26
WT 2021/22,Baden-Württemberg,SF096,Food Chemistry,18,45,63
WT 2021/22,Baden-Württemberg,SF097,Food Technology,35,73,108
WT 2021/22,Baden-Württemberg,SF154,Area of study: Social Studies,6,15,21
WT 2021/22,Baden-Württemberg,SF186,Area of study: Natural Sciences/General Studies,15,5,20
WT 2021/22,Baden-Württemberg,SF199,Area of study: Technology,39,9,48
WT 2021/22,Baden-Württemberg,SF057,Aeronautical and Aerospace Engineering,276,48,324
WT 2021/22,Baden-Württemberg,SF204,Painting,10,17,27
WT 2021/22,Baden-Württemberg,SF104,Mechanical Engineering,1699,239,1938
WT 2021/22,Baden-Württemberg,SF294,Materials Engineering,30,23,53
WT 2021/22,Baden-Württemberg,SF105,Mathematics,477,825,1302
WT 2021/22,Baden-Württemberg,SF380,Mechatronics,616,75,691
WT 2021/22,Baden-Württemberg,SF121,Media Informatics,231,143,374
WT 2021/22,Baden-Württemberg,SF305,Media Technology,51,46,97
WT 2021/22,Baden-Württemberg,SF304,Media Economics/Media Management,80,115,195
WT 2021/22,Baden-Württemberg,SF302,Media Science,9,32,41
WT 2021/22,Baden-Württemberg,SF107,Medicine (General Medicine),622,1139,1761
WT 2021/22,Baden-Württemberg,SF247,Medical Informatics,88,84,172
WT 2021/22,Baden-Württemberg,SF110,Meteorology,11,13,24
WT 2021/22,Baden-Württemberg,SF286,Microsystems Technology,113,35,148
WT 2021/22,Baden-Württemberg,SF113,Music Education,33,64,97
WT 2021/22,Baden-Württemberg,SF114,Musicology/History of Music,31,23,54
WT 2021/22,Baden-Württemberg,SF064,Nature Conservation,13,8,21
WT 2021/22,Baden-Württemberg,SF287,New Media,21,25,46
WT 2021/22,Baden-Württemberg,SF233,Non-medical Healthcare Professions/Therapies,33,249,282
WT 2021/22,Baden-Württemberg,SF120,"Nordic/Scand. St. (Nord. Phil., ind. lang. n.e.c.)",2,8,10
WT 2021/22,Baden-Württemberg,SF088,Optoelectronics,14,6,20
WT 2021/22,Baden-Württemberg,SF122,"Oriental Studies, Ancient Oriental Studies",5,11,16
WT 2021/22,Baden-Württemberg,SF044,Eastern and South Eastern Europe Studies,1,2,3
WT 2021/22,Baden-Württemberg,SF365,Early Childhood Education,7,46,53
WT 2021/22,Baden-Württemberg,SF234,Nursing Science/Nursing Management,16,235,251
WT 2021/22,Baden-Württemberg,SF126,Pharmacy,130,314,444
WT 2021/22,Baden-Württemberg,SF127,Philosophy,137,135,272
WT 2021/22,Baden-Württemberg,SF128,Physics,690,285,975
WT 2021/22,Baden-Württemberg,SF224,Engineering Physics/Mechanical Process Engineering,10,1,11
WT 2021/22,Baden-Württemberg,SF129,Political Science,302,351,653
WT 2021/22,Baden-Württemberg,SF263,Police/Protection of the Constitution,153,59,212
WT 2021/22,Baden-Württemberg,SF131,Portuguese,1,1,2
WT 2021/22,Baden-Württemberg,SF132,Psychology,280,1053,1333
WT 2021/22,Baden-Württemberg,SF134,Spatial Planning,42,48,90
WT 2021/22,Baden-Württemberg,SF256,Administration of Justice,32,173,205
WT 2021/22,Baden-Württemberg,SF135,Law,485,809,1294
WT 2021/22,Baden-Württemberg,SF310,Renewable Energy,33,6,39
WT 2021/22,Baden-Württemberg,SF136,Religious Studies,1,4,5
WT 2021/22,Baden-Württemberg,SF137,"Romance Studies (Rom. Phil., indiv. lang. n.e.c.)",6,26,32
WT 2021/22,Baden-Württemberg,SF139,Russian,1,14,15
WT 2021/22,Baden-Württemberg,SF145,Sinology/Korean Studies,30,95,125
WT 2021/22,Baden-Württemberg,SF146,Slavic Studies (Slavic Philology),4,18,22
WT 2021/22,Baden-Württemberg,SF290,Other subjects,539,563,1102
WT 2021/22,Baden-Württemberg,SF208,Social Work,259,1029,1288
WT 2021/22,Baden-Württemberg,SF245,Social Pedagogy,20,138,158
WT 2021/22,Baden-Württemberg,SF264,Social Security Administration,9,49,58
WT 2021/22,Baden-Württemberg,SF253,Applied Social Science,27,142,169
WT 2021/22,Baden-Württemberg,SF148,Social Sciences,36,72,108
WT 2021/22,Baden-Württemberg,SF149,Sociology,69,248,317
WT 2021/22,Baden-Württemberg,SF150,Spanish,35,115,150
WT 2021/22,Baden-Württemberg,SF166,Sports Management/Sports Economics,15,4,19
WT 2021/22,Baden-Württemberg,SF098,Sports Education/Sports Psychology,131,169,300
WT 2021/22,Baden-Württemberg,SF029,Sports Science,141,114,255
WT 2021/22,Baden-Württemberg,SF144,Technical Cybernetics,41,8,49
WT 2021/22,Baden-Württemberg,SF118,Technomathematics,20,5,25
WT 2021/22,Baden-Württemberg,SF116,Textile Design,12,35,47
WT 2021/22,Baden-Württemberg,SF225,Textile and Clothing Technology/Industry,10,38,48
WT 2021/22,Baden-Württemberg,SF274,Tourism Management,36,96,132
WT 2021/22,Baden-Württemberg,SF074,Transport and Conveying Technology,38,1,39
WT 2021/22,Baden-Württemberg,SF457,Environmental Technology (including Recycling),27,20,47
WT 2021/22,Baden-Württemberg,SF548,Prehistory and Early History,10,16,26
WT 2021/22,Baden-Württemberg,SF226,Process Engineering,165,121,286
WT 2021/22,Baden-Württemberg,SF089,Transport Engineering,39,3,42
WT 2021/22,Baden-Württemberg,SF210,Transport Economics,38,14,52
WT 2021/22,Baden-Württemberg,SF171,Surveying (Geodesy),106,33,139
WT 2021/22,Baden-Württemberg,SF213,Supply Technology,59,11,70
WT 2021/22,Baden-Württemberg,SF172,Administrative Science/Public Administration,10,7,17
WT 2021/22,Baden-Württemberg,SF174,Folklore,5,19,24
WT 2021/22,Baden-Württemberg,SF175,Economics,452,273,725
WT 2021/22,Baden-Württemberg,SF077,Water Management,25,27,52
WT 2021/22,Baden-Württemberg,SF227,Viticulture and Oenology,10,4,14
WT 2021/22,Baden-Württemberg,SF177,Materials Technology,26,8,34
WT 2021/22,Baden-Württemberg,SF277,Business Informatics,1716,490,2206
WT 2021/22,Baden-Württemberg,SF370,Business Engineering spec. in Engineering Sciences,806,279,1085
WT 2021/22,Baden-Württemberg,SF179,Business Engineering specialising in Economics,931,275,1206
WT 2021/22,Baden-Württemberg,SF276,Business Mathematics,105,65,170
WT 2021/22,Baden-Württemberg,SF181,Business and Economics Education,51,94,145
WT 2021/22,Baden-Württemberg,SF042,Business Law,262,494,756
WT 2021/22,Baden-Württemberg,SF184,Business and Economics,628,563,1191
WT 2021/22,Baden-Württemberg,SF185,Dentistry,61,123,184
WT 2021/22,Bayern,SF002,African Studies,14,15,29
WT 2021/22,Bayern,SF125,Agricultural Economics,24,34,58
WT 2021/22,Bayern,SF003,Agricultural Science/Agriculture,221,141,362
WT 2021/22,Bayern,SF001,Egyptology,38,49,87
WT 2021/22,Bayern,SF152,General Linguistics/Indo-European Studies,28,102,130
WT 2021/22,Bayern,SF188,General Literary Studies,18,62,80
WT 2021/22,Bayern,SF006,American Studies,19,38,57
WT 2021/22,Bayern,SF284,Applied Linguistics,10,57,67
WT 2021/22,Bayern,SF140,Applied Systems Science,75,7,82
WT 2021/22,Bayern,SF008,English Studies,411,1042,1453
WT 2021/22,Bayern,SF009,Anthropology (Human Biology),2,5,7
WT 2021/22,Bayern,SF010,Arabic/Arabic Studies,1,2,3
WT 2021/22,Bayern,SF011,Work Studies/Business Studies,2,3,5
WT 2021/22,Bayern,SF012,Archaeology,208,222,430
WT 2021/22,Bayern,SF013,Architecture,310,475,785
WT 2021/22,Bayern,SF187,Asian Languages and Cultures/Asian Studies,9,10,19
WT 2021/22,Bayern,SF014,Astrophysics and Astronomy,10,5,15
WT 2021/22,Bayern,SF143,Ophthalmic Optics,6,13,19
WT 2021/22,Bayern,SF017,Civil Engineering/Structural Engineering,1053,361,1414
WT 2021/22,Bayern,SF018,Occupation-specific Foreign Language Training,4,20,24
WT 2021/22,Bayern,SF270,"Vocational, Business and Economics Education",29,22,51
WT 2021/22,Bayern,SF021,Business Administration,3081,2708,5789
WT 2021/22,Bayern,SF023,Fine Arts/Graphics,24,29,53
WT 2021/22,Bayern,SF025,Biochemistry,144,181,325
WT 2021/22,Bayern,SF221,Bioinformatics,49,46,95
WT 2021/22,Bayern,SF026,Biology,449,936,1385
WT 2021/22,Bayern,SF300,Biomedicine,12,58,70
WT 2021/22,Bayern,SF282,Biotechnology,193,248,441
WT 2021/22,Bayern,SF028,Brewing Science/Beverage Technology,88,22,110
WT 2021/22,Bayern,SF162,Caritas Science,2,1,3
WT 2021/22,Bayern,SF032,Chemistry,333,301,634
WT 2021/22,Bayern,SF033,Chemical Engineering/Chemical Process Technology,165,87,252
WT 2021/22,Bayern,SF160,Computer Linguistics,14,18,32
WT 2021/22,Bayern,SF200,Computer and Communication Technology,140,204,344
WT 2021/22,Bayern,SF035,Performing Arts/Stagecraft/Directing,3,3,6
WT 2021/22,Bayern,SF271,German as a Foreign or Second Language,7,106,113
WT 2021/22,Bayern,SF161,Pastoral Care Studies,3,3,6
WT 2021/22,Bayern,SF231,Printing and Reproduction Technology,22,23,45
WT 2021/22,Bayern,SF316,Electrical Power Engineering,78,15,93
WT 2021/22,Bayern,SF048,Electrical Engineering/Electronics,1552,283,1835
WT 2021/22,Bayern,SF211,Energy Process Engineering,185,53,238
WT 2021/22,Bayern,SF320,Nutritional Science,19,118,137
WT 2021/22,Bayern,SF052,Educational Science (Pedagogy),135,482,617
WT 2021/22,Bayern,SF173,Ethnology,26,53,79
WT 2021/22,Bayern,SF024,European Ethnology and Cultural Studies,24,88,112
WT 2021/22,Bayern,SF167,European Economic Studies,15,38,53
WT 2021/22,Bayern,SF544,"Protestant Religious Pedagogy, Church Educat. Work",5,5,10
WT 2021/22,Bayern,SF053,"Protestant Theology, Protes. Religious Education",40,80,120
WT 2021/22,Bayern,SF464,Facility Management,4,3,7
WT 2021/22,Bayern,SF235,Automotive Technology,363,38,401
WT 2021/22,Bayern,SF202,Manufacturing Technology/Production Engineering,79,12,91
WT 2021/22,Bayern,SF054,Film and Television Studies,19,16,35
WT 2021/22,Bayern,SF266,Financial Administration,19,28,47
WT 2021/22,Bayern,SF056,Finno-Ugrian Studies,4,4,8
WT 2021/22,Bayern,SF058,"Forest Science, Forestry",140,48,188
WT 2021/22,Bayern,SF059,French,14,66,80
WT 2021/22,Bayern,SF060,Horticulture,23,32,55
WT 2021/22,Bayern,SF050,Geography,290,451,741
WT 2021/22,Bayern,SF385,Geoecology,4,14,18
WT 2021/22,Bayern,SF066,Geophysics,7,2,9
WT 2021/22,Bayern,SF039,Geosciences general,103,85,188
WT 2021/22,Bayern,SF067,German Studies/German,320,1175,1495
WT 2021/22,Bayern,SF230,Singing,6,12,18
WT 2021/22,Bayern,SF068,History,230,276,506
WT 2021/22,Bayern,SF195,Health Education,9,124,133
WT 2021/22,Bayern,SF215,Health Technology,179,155,334
WT 2021/22,Bayern,SF232,Health Science/Health Management,149,557,706
WT 2021/22,Bayern,SF069,Graphic Design/Communication Design,83,181,264
WT 2021/22,Bayern,SF070,Greek,8,13,21
WT 2021/22,Bayern,SF071,Domestic and Nutritional Sciences,11,56,67
WT 2021/22,Bayern,SF082,Wood and Fibre Technology,51,14,65
WT 2021/22,Bayern,SF197,Timber Construction,41,3,44
WT 2021/22,Bayern,SF078,Indology,3,3,6
WT 2021/22,Bayern,SF203,Industrial Design/Product Design,23,22,45
WT 2021/22,Bayern,SF079,Computer Science,3093,813,3906
WT 2021/22,Bayern,SF022,Inf./Library Scien. (not at univ. of app.adm.sci.),6,42,48
WT 2021/22,Bayern,SF123,Computational Engineer./Technical Computer Science,352,80,432
WT 2021/22,Bayern,SF242,Interior Architecture,20,101,121
WT 2021/22,Bayern,SF261,Internal Administration,145,279,424
WT 2021/22,Bayern,SF080,Instrumental Music,36,68,104
WT 2021/22,Bayern,SF072,Interdisc. Studies (specialising in Engineering),387,165,552
WT 2021/22,Bayern,SF049,Interdisc. Studies (special. in Natural Sciences),151,140,291
WT 2021/22,Bayern,SF030,"Interdisc. St. (spec. in Law, Econ. and Soc. Sci.)",104,169,273
WT 2021/22,Bayern,SF004,Interdisc. Studies (spec. in Humanities),53,174,227
WT 2021/22,Bayern,SF182,International Business Studies/Management,645,911,1556
WT 2021/22,Bayern,SF292,Islamic Studies/Islamic theology,4,3,7
WT 2021/22,Bayern,SF083,Islamic Studies,2,3,5
WT 2021/22,Bayern,SF084,Italian,21,37,58
WT 2021/22,Bayern,SF085,Japanese Studies,53,70,123
WT 2021/22,Bayern,SF164,Jazz and Popular Music,8,4,12
WT 2021/22,Bayern,SF168,Law Enforcement,4,10,14
WT 2021/22,Bayern,SF280,Cartography,39,27,66
WT 2021/22,Bayern,SF545,"Catholic Religious Pedagogy, Church Educat. Work",110,103,213
WT 2021/22,Bayern,SF086,"Catholic Theology, Catholic Religious Education",41,134,175
WT 2021/22,Bayern,SF193,Church Music,7,4,11
WT 2021/22,Bayern,SF005,Classical Philology,4,9,13
WT 2021/22,Bayern,SF222,"Communication Technology, Information Engineering",96,32,128
WT 2021/22,Bayern,SF303,Communication Science/Journalism,64,267,331
WT 2021/22,Bayern,SF091,Arts Education,10,46,56
WT 2021/22,Bayern,SF092,"Art History, Art Theory",112,256,368
WT 2021/22,Bayern,SF219,Plastics Technology,31,11,42
WT 2021/22,Bayern,SF093,Land Management Engineering/Landscape Design,63,112,175
WT 2021/22,Bayern,SF095,Latin,17,38,55
WT 2021/22,Bayern,SF096,Food Chemistry,13,42,55
WT 2021/22,Bayern,SF097,Food Technology,82,92,174
WT 2021/22,Bayern,SF090,Area of study: Humanities,48,74,122
WT 2021/22,Bayern,SF186,Area of study: Natural Sciences/General Studies,82,106,188
WT 2021/22,Bayern,SF057,Aeronautical and Aerospace Engineering,273,46,319
WT 2021/22,Bayern,SF104,Mechanical Engineering,1733,297,2030
WT 2021/22,Bayern,SF294,Materials Engineering,7,8,15
WT 2021/22,Bayern,SF105,Mathematics,611,581,1192
WT 2021/22,Bayern,SF380,Mechatronics,709,104,813
WT 2021/22,Bayern,SF121,Media Informatics,103,81,184
WT 2021/22,Bayern,SF305,Media Technology,132,232,364
WT 2021/22,Bayern,SF304,Media Economics/Media Management,74,169,243
WT 2021/22,Bayern,SF302,Media Science,52,127,179
WT 2021/22,Bayern,SF107,Medicine (General Medicine),445,1092,1537
WT 2021/22,Bayern,SF247,Medical Informatics,92,109,201
WT 2021/22,Bayern,SF108,Metals Technology,21,1,22
WT 2021/22,Bayern,SF110,Meteorology,2,1,3
WT 2021/22,Bayern,SF286,Microsystems Technology,31,12,43
WT 2021/22,Bayern,SF273,Medieval and Modern History,6,4,10
WT 2021/22,Bayern,SF113,Music Education,40,61,101
WT 2021/22,Bayern,SF114,Musicology/History of Music,24,30,54
WT 2021/22,Bayern,SF064,Nature Conservation,30,52,82
WT 2021/22,Bayern,SF287,New Media,52,157,209
WT 2021/22,Bayern,SF233,Non-medical Healthcare Professions/Therapies,64,362,426
WT 2021/22,Bayern,SF120,"Nordic/Scand. St. (Nord. Phil., ind. lang. n.e.c.)",5,21,26
WT 2021/22,Bayern,SF165,Orchestral Music,25,24,49
WT 2021/22,Bayern,SF122,"Oriental Studies, Ancient Oriental Studies",26,30,56
WT 2021/22,Bayern,SF365,Early Childhood Education,17,113,130
WT 2021/22,Bayern,SF234,Nursing Science/Nursing Management,37,107,144
WT 2021/22,Bayern,SF126,Pharmacy,83,324,407
WT 2021/22,Bayern,SF127,Philosophy,228,211,439
WT 2021/22,Bayern,SF128,Physics,898,400,1298
WT 2021/22,Bayern,SF224,Engineering Physics/Mechanical Process Engineering,83,37,120
WT 2021/22,Bayern,SF129,Political Science,280,301,581
WT 2021/22,Bayern,SF263,Police/Protection of the Constitution,131,47,178
WT 2021/22,Bayern,SF206,Polish,2,3,5
WT 2021/22,Bayern,SF132,Psychology,230,837,1067
WT 2021/22,Bayern,SF256,Administration of Justice,18,45,63
WT 2021/22,Bayern,SF135,Law,1159,1865,3024
WT 2021/22,Bayern,SF310,Renewable Energy,52,4,56
WT 2021/22,Bayern,SF136,Religious Studies,7,5,12
WT 2021/22,Bayern,SF137,"Romance Studies (Rom. Phil., indiv. lang. n.e.c.)",24,76,100
WT 2021/22,Bayern,SF139,Russian,1,12,13
WT 2021/22,Bayern,SF102,Drama Studies,2,4,6
WT 2021/22,Bayern,SF145,Sinology/Korean Studies,23,60,83
WT 2021/22,Bayern,SF146,Slavic Studies (Slavic Philology),6,30,36
WT 2021/22,Bayern,SF190,Special Needs Education,56,379,435
WT 2021/22,Bayern,SF290,Other subjects,22,62,84
WT 2021/22,Bayern,SF041,Other orientation studies,6,5,11
WT 2021/22,Bayern,SF208,Social Work,213,939,1152
WT 2021/22,Bayern,SF147,Social Studies,53,132,185
WT 2021/22,Bayern,SF245,Social Pedagogy,34,149,183
WT 2021/22,Bayern,SF264,Social Security Administration,21,77,98
WT 2021/22,Bayern,SF253,Applied Social Science,171,812,983
WT 2021/22,Bayern,SF148,Social Sciences,178,218,396
WT 2021/22,Bayern,SF149,Sociology,82,238,320
WT 2021/22,Bayern,SF150,Spanish,5,25,30
WT 2021/22,Bayern,SF166,Sports Management/Sports Economics,385,66,451
WT 2021/22,Bayern,SF098,Sports Education/Sports Psychology,68,87,155
WT 2021/22,Bayern,SF029,Sports Science,216,185,401
WT 2021/22,Bayern,SF312,Statistics,57,35,92
WT 2021/22,Bayern,SF106,Dance Education,5,12,17
WT 2021/22,Bayern,SF118,Technomathematics,50,28,78
WT 2021/22,Bayern,SF116,Textile Design,24,47,71
WT 2021/22,Bayern,SF225,Textile and Clothing Technology/Industry,18,3,21
WT 2021/22,Bayern,SF155,Theatre Studies,16,72,88
WT 2021/22,Bayern,SF156,Veterinary Medicine,28,210,238
WT 2021/22,Bayern,SF274,Tourism Management,125,286,411
WT 2021/22,Bayern,SF458,Environmental Protection,49,28,77
WT 2021/22,Bayern,SF457,Environmental Technology (including Recycling),70,38,108
WT 2021/22,Bayern,SF226,Process Engineering,71,69,140
WT 2021/22,Bayern,SF089,Transport Engineering,73,37,110
WT 2021/22,Bayern,SF171,Surveying (Geodesy),100,62,162
WT 2021/22,Bayern,SF213,Supply Technology,137,28,165
WT 2021/22,Bayern,SF172,Administrative Science/Public Administration,42,40,82
WT 2021/22,Bayern,SF174,Folklore,12,34,46
WT 2021/22,Bayern,SF175,Economics,276,208,484
WT 2021/22,Bayern,SF094,Hydraulic Engineering,129,73,202
WT 2021/22,Bayern,SF177,Materials Technology,153,59,212
WT 2021/22,Bayern,SF277,Business Informatics,1005,272,1277
WT 2021/22,Bayern,SF370,Business Engineering spec. in Engineering Sciences,1107,355,1462
WT 2021/22,Bayern,SF179,Business Engineering specialising in Economics,240,72,312
WT 2021/22,Bayern,SF276,Business Mathematics,104,67,171
WT 2021/22,Bayern,SF181,Business and Economics Education,15,43,58
WT 2021/22,Bayern,SF042,Business Law,64,121,185
WT 2021/22,Bayern,SF184,Business and Economics,821,902,1723
WT 2021/22,Bayern,SF185,Dentistry,45,153,198
WT 2021/22,Bayern,SF269,Customs and Tax Administration,131,172,303
WT 2021/22,Berlin,SF002,African Studies,23,46,69
WT 2021/22,Berlin,SF125,Agricultural Economics,10,3,13
WT 2021/22,Berlin,SF003,Agricultural Science/Agriculture,48,55,103
WT 2021/22,Berlin,SF001,Egyptology,11,31,42
WT 2021/22,Berlin,SF152,General Linguistics/Indo-European Studies,9,18,27
WT 2021/22,Berlin,SF188,General Literary Studies,35,111,146
WT 2021/22,Berlin,SF006,American Studies,57,111,168
WT 2021/22,Berlin,SF007,Applied Art,2,37,39
WT 2021/22,Berlin,SF284,Applied Linguistics,11,35,46
WT 2021/22,Berlin,SF140,Applied Systems Science,57,21,78
WT 2021/22,Berlin,SF008,English Studies,64,227,291
WT 2021/22,Berlin,SF010,Arabic/Arabic Studies,7,18,25
WT 2021/22,Berlin,SF011,Work Studies/Business Studies,20,33,53
WT 2021/22,Berlin,SF012,Archaeology,40,91,131
WT 2021/22,Berlin,SF013,Architecture,168,312,480
WT 2021/22,Berlin,SF187,Asian Languages and Cultures/Asian Studies,1,2,3
